alcohol_pct,brand,container_type,hierarchy_subtype,hierarchy_type,name,price,short_pack_size,short_pack_size_num,short_volume,standard vol,supplier_id,type,total oz,cost per oz,oz of alcohol per dollar
7.50,Lagunitas,CAN,pale wheat ale,domestic,Lagunitas Little Sumpin' Sumpin',2.99,1,1,19.2oz,19.2,849,domestic,19.2,0.16,0.48
7.50,Lagunitas,CAN,pale wheat ale,domestic,Lagunitas Little Sumpin' Sumpin',2.99,1,1,19.2oz,19.2,809,domestic,19.2,0.16,0.48
5.00,Narragansett,CAN,lager,domestic,Narragansett Lager,9.99,6 pack,6,16oz,16,229,domestic,96,0.10,0.48
5.00,Narragansett,CAN,lager,domestic,Narragansett Lager,9.99,6 pack,6,16oz,16,849,domestic,96,0.10,0.48
6.60,Leffe,BOTTLE,ale,imported,Leffe Blond Belgian Ale,36.95,24 pack,24,11.2oz,11.2,536,imported,268.8,0.14,0.48
6.60,Leffe,BOTTLE,ale,imported,Leffe Blond Belgian Ale,36.95,24 pack,24,11.2oz,11.2,536,imported,268.8,0.14,0.48
7.00,Victory Brewing Company,CAN,,domestic,Victory Kick Back Variety Pack,26.39,15 pack,15,12oz,12,809,domestic,180,0.15,0.48
6.50,Oskar Blues,CAN,ale,domestic,Oskar Blues Canundrum,24.59,15 pack,15,12oz,12,809,domestic,180,0.14,0.48
4.60,Rolling Rock,CAN,lager,domestic,Rolling Rock,6.99,6 pack,6,12oz,12,229,domestic,72,0.10,0.47
4.20,Natural Light,CAN,,domestic,Natural Light,15.99,15 pack,15,12oz,12,536,domestic,180,0.09,0.47
15.20,Goose Island,BOTTLE,porter and stout,domestic,Goose Island Bourbon County Stout,21.99,4 pack,4,16.9oz,16.9,536,domestic,67.6,0.33,0.47
4.20,,CAN,,hard seltzer,Henry's Hard Sparkling Variety Pack,12.98,12 pack,12,12oz,12,536,hard seltzer,144,0.09,0.47
5.50,Foster's,CAN,ale,imported,Foster's Premium Ale,3.00,1,1,25.4oz,25.4,809,imported,25.4,0.12,0.47
4.20,,CAN,,hard seltzer,Henry's Hard Sparkling Variety Pack,12.99,12 pack,12,12oz,12,536,hard seltzer,144,0.09,0.47
4.74,Pabst,CAN,lager,domestic,Pabst Blue Ribbon,36.99,30 pack,30,12oz,12,536,domestic,360,0.10,0.46
9.20,BrewDog,CAN,IPA,domestic,Brewdog Punk IPA,14.39,6 pack,6,12oz,12,809,domestic,72,0.20,0.46
7.00,Cutwater Spirits,CAN,,flavored,Cutwater Rum & Cola,10.99,6 pack,6,12oz,12,193,flavored,72,0.15,0.46
9.10,SixPoint,CAN,IPA,domestic,Sixpoint Resin Double IPA,14.39,6 pack,6,12oz,12,809,domestic,72,0.20,0.46
5.00,Budweiser,CAN,lager,domestic,Budweiser,2.76,1,1,25oz,25,849,domestic,25,0.11,0.45
5.00,Budweiser,CAN,lager,domestic,Budweiser,39.78,30 pack,30,12oz,12,210,domestic,360,0.11,0.45
5.00,Budweiser,CAN,lager,domestic,Budweiser,39.79,30 pack,30,12oz,12,536,domestic,360,0.11,0.45
5.00,Budweiser,CAN,lager,domestic,Budweiser,39.79,30 pack,30,12oz,12,536,domestic,360,0.11,0.45
5.00,Budweiser,CAN,lager,domestic,Budweiser,15.99,12 pack,12,12oz,12,849,domestic,144,0.11,0.45
10.00,Kelso,BOTTLE,IPA,domestic,Kelso IPA,15.99,6 pack,6,12oz,12,229,domestic,72,0.22,0.45
5.00,Coors,CAN,lager,domestic,Coors Banquet,31.99,12 pack,12,24oz,24,536,domestic,288,0.11,0.45
8.00,Ritas,CAN,cooler,domestic,RITAS Straw-Ber-Rita,4.49,1,1,25oz,25,229,domestic,25,0.18,0.45
8.00,Ritas,CAN,cooler,domestic,RITAS Straw-Ber-Rita,26.99,6 pack,6,25oz,25,210,domestic,150,0.18,0.44
4.74,Pabst,CAN,lager,domestic,Pabst Blue Ribbon,15.49,12 pack,12,12oz,12,210,domestic,144,0.11,0.44
5.00,Narragansett,CAN,lager,domestic,Narragansett Lager,40.99,30 pack,30,12oz,12,536,domestic,360,0.11,0.44
6.20,Lagunitas,BOTTLE,IPA,domestic,Lagunitas IPA,20.36,12 pack,12,12oz,12,210,domestic,144,0.14,0.44
6.20,Lagunitas,BOTTLE,IPA,domestic,Lagunitas IPA,20.37,12 pack,12,12oz,12,536,domestic,144,0.14,0.44
4.20,Bud Light,CAN,light lager,domestic,Bud Light,34.50,30 pack,30,12oz,12,210,domestic,360,0.10,0.44
5.00,Beck's,BOTTLE,,imported,Beck's,5.49,4 pack,4,12oz,12,849,imported,48,0.11,0.44
9.10,SixPoint,CAN,IPA,domestic,Sixpoint Resin Double IPA,14.99,6 pack,6,12oz,12,849,domestic,72,0.21,0.44
5.00,Budweiser,CAN,lager,domestic,Budweiser,2.87,1,1,25oz,25,809,domestic,25,0.11,0.44
8.00,Champion Brewing Company,CAN,,,Champion Brewing Company Hogwaller Scramble Stout,52.99,24 pack,24,12oz,12,698,,288,0.18,0.43
4.20,Bud Light,BOTTLE,light lager,domestic,Bud Light,13.96,12 pack,12,12oz,12,210,domestic,144,0.10,0.43
4.20,Bud Light,CAN,light lager,domestic,Bud Light,13.96,12 pack,12,12oz,12,210,domestic,144,0.10,0.43
4.20,Bud Light,CAN,light lager,domestic,Bud Light,34.90,30 pack,30,12oz,12,536,domestic,360,0.10,0.43
4.20,Bud Light,BOTTLE,light lager,domestic,Bud Light,13.97,12 pack,12,12oz,12,536,domestic,144,0.10,0.43
4.20,Bud Light,CAN,light lager,domestic,Bud Light,13.97,12 pack,12,12oz,12,536,domestic,144,0.10,0.43
4.20,Bud Light,BOTTLE,light lager,domestic,Bud Light,13.98,12 pack,12,12oz,12,210,domestic,144,0.10,0.43
4.20,Bud Light,CAN,light lager,domestic,Bud Light,13.99,12 pack,12,12oz,12,849,domestic,144,0.10,0.43
4.20,Coors,CAN,,domestic,Coors Light,34.98,30 pack,30,12oz,12,210,domestic,360,0.10,0.43
4.20,Coors,CAN,,domestic,Coors Light,34.99,30 pack,30,12oz,12,536,domestic,360,0.10,0.43
5.00,Miller,CAN,lager,domestic,Miller High Life,41.95,30 pack,30,12oz,12,536,domestic,360,0.12,0.43
7.00,CERVEZA MEXICANA COLIBRE,BOTTLE,,,Cerveza Mexicana Colibre Mexican Pale Ale (MPA),46.99,24 pack,24,12oz,12,698,,288,0.16,0.43
8.00,Budweiser,CAN,cooler,domestic,RITAS Lime-A-Rita,13.99,3 pack,3,25oz,25,536,domestic,75,0.19,0.43
8.00,Ritas,CAN,cooler,domestic,RITAS Straw-Ber-Rita,13.99,3 pack,3,25oz,25,536,domestic,75,0.19,0.43
8.00,Ritas,CAN,cooler,domestic,RITAS Lemon-Ade-Rita,13.99,3 pack,3,25oz,25,536,domestic,75,0.19,0.43
8.00,Ritas,CAN,cooler,domestic,RITAS Grape-Fruit Rita,13.99,3 pack,3,25oz,25,536,domestic,75,0.19,0.43
8.00,Ritas,CAN,,flavored,RITAS Grape-A-Rita,13.99,3 pack,3,25oz,25,536,flavored,75,0.19,0.43
8.00,Budweiser,CAN,cooler,domestic,RITAS Lime-A-Rita,27.99,6 pack,6,25oz,25,536,domestic,150,0.19,0.43
8.00,Ritas,CAN,cooler,domestic,RITAS Straw-Ber-Rita,27.99,6 pack,6,25oz,25,536,domestic,150,0.19,0.43
8.00,Ritas,CAN,cooler,domestic,RITAS Lemon-Ade-Rita,27.99,6 pack,6,25oz,25,536,domestic,150,0.19,0.43
8.00,Ritas,CAN,cooler,domestic,RITAS Grape-Fruit Rita,27.99,6 pack,6,25oz,25,536,domestic,150,0.19,0.43
8.00,Ritas,CAN,,flavored,RITAS Grape-A-Rita,27.99,6 pack,6,25oz,25,536,flavored,150,0.19,0.43
5.00,Miller,CAN,lager,domestic,Miller High Life,41.99,30 pack,30,12oz,12,210,domestic,360,0.12,0.43
11.90,Flying Dog,BOTTLE,ale,imported,Flying Dog Double Dog Double IPA,19.99,6 pack,6,12oz,12,849,imported,72,0.28,0.43
11.90,Flying Dog,BOTTLE,ale,imported,Flying Dog Double Dog Double IPA,19.99,6 pack,6,12oz,12,536,imported,72,0.28,0.43
3.80,Carlsberg,CAN,lager,imported,Carlsberg Lager,6.00,4 pack,4,16.9oz,16.9,809,imported,67.6,0.09,0.43
8.00,Budweiser,CAN,cooler,domestic,RITAS Lime-A-Rita,4.49,1,1,24oz,24,229,domestic,24,0.19,0.43
8.00,Ritas,CAN,cooler,domestic,RITAS Lemon-Ade-Rita,4.49,1,1,24oz,24,229,domestic,24,0.19,0.43
8.00,Ritas,CAN,,flavored,RITAS Water-Melon-Rita,4.49,1,1,24oz,24,229,flavored,24,0.19,0.43
8.00,Ritas,CAN,,flavored,RITAS Grape-A-Rita,4.49,1,1,24oz,24,229,flavored,24,0.19,0.43
8.00,Budweiser,CAN,cooler,domestic,RITAS Lime-A-Rita,26.99,6 pack,6,24oz,24,210,domestic,144,0.19,0.43
8.00,Ritas,CAN,cooler,domestic,RITAS Mango-O-Rita,26.99,6 pack,6,24oz,24,210,domestic,144,0.19,0.43
8.00,Ritas,CAN,cooler,domestic,RITAS Lemon-Ade-Rita,26.99,6 pack,6,24oz,24,210,domestic,144,0.19,0.43
8.00,Ritas,CAN,cooler,domestic,Bud Light Lime Raz-Ber-Rita,26.99,6 pack,6,24oz,24,210,domestic,144,0.19,0.43
8.00,Ritas,CAN,,flavored,RITAS Water-Melon-Rita,26.99,6 pack,6,24oz,24,210,flavored,144,0.19,0.43
8.00,Ritas,CAN,,flavored,RITAS Grape-A-Rita,26.99,6 pack,6,24oz,24,210,flavored,144,0.19,0.43
5.00,Narragansett,CAN,lager,domestic,Narragansett Lager,42.19,30 pack,30,12oz,12,210,domestic,360,0.12,0.43
5.00,Beck's,BOTTLE,,imported,Beck's,5.63,4 pack,4,12oz,12,809,imported,48,0.12,0.43
6.50,Southern Tier,CAN,IPA,domestic,Southern Tier IPA,21.99,12 pack,12,12oz,12,210,domestic,144,0.15,0.43
4.90,Konig,CAN,pilsner,imported,Konig Pilsner,7.79,4 pack,4,16.9oz,16.9,809,imported,67.6,0.12,0.43
5.00,Budweiser,BOTTLE,lager,domestic,Budweiser,33.88,24 pack,24,12oz,12,210,domestic,288,0.12,0.43
5.00,Budweiser,BOTTLE,lager,domestic,Budweiser,33.89,24 pack,24,12oz,12,536,domestic,288,0.12,0.42
4.60,Rolling Rock,CAN,lager,domestic,Rolling Rock,15.59,6 pack,6,24oz,24,210,domestic,144,0.11,0.42
5.00,Narragansett,CAN,lager,domestic,Narragansett Lager,16.98,12 pack,12,12oz,12,536,domestic,144,0.12,0.42
5.00,Narragansett,CAN,lager,domestic,Narragansett Lager,16.99,12 pack,12,12oz,12,229,domestic,144,0.12,0.42
4.20,Bud Light,BOTTLE,light lager,domestic,Bud Light,14.39,12 pack,12,12oz,12,809,domestic,144,0.10,0.42
4.70,,CAN,IPA,domestic,The Winner's Circle American Session Ale,42.99,24 pack,24,16oz,16,698,domestic,384,0.11,0.42
8.00,Oskar Blues,CAN,ale,domestic,Oskar Blues Old Chub,54.99,24 pack,24,12oz,12,210,domestic,288,0.19,0.42
5.50,Blue Point Brewing Company,BOTTLE,lager,domestic,Blue Point Toasted Lager,3.29,1,1,25oz,25,849,domestic,25,0.13,0.42
4.20,Coors,CAN,,domestic,Coors Light,28.99,12 pack,12,24oz,24,536,domestic,288,0.10,0.42
5.00,Budweiser,CAN,lager,domestic,Budweiser,34.54,12 pack,12,24oz,24,210,domestic,288,0.12,0.42
7.00,Blue Point Brewing Company,BOTTLE,,domestic,Blue Point Hoptical Illusion IPA,48.50,24 pack,24,12oz,12,210,domestic,288,0.17,0.42
7.60,Brooklyn Brewery,BOTTLE,ale,domestic,Brooklyn Sorachi Ace,13.19,6 pack,6,12oz,12,809,domestic,72,0.18,0.41
6.20,Lagunitas,CAN,IPA,domestic,Lagunitas IPA,2.87,1,1,19.2oz,19.2,809,domestic,19.2,0.15,0.41
6.20,Lagunitas,BOTTLE,IPA,domestic,Lagunitas IPA,21.59,12 pack,12,12oz,12,809,domestic,144,0.15,0.41
4.20,Bud Light,BOTTLE,light lager,domestic,Bud Light,21.99,18 pack,18,12oz,12,229,domestic,216,0.10,0.41
5.00,Budweiser,CAN,lager,domestic,Budweiser,69.89,24 pack,24,24oz,24,210,domestic,576,0.12,0.41
13.00,Stillwater,CAN,porter and stout,domestic,Stillwater On Fleek,3.79,1,1,12oz,12,849,domestic,12,0.32,0.41
8.00,Oskar Blues,CAN,ale,domestic,Oskar Blues Old Chub,27.99,12 pack,12,12oz,12,210,domestic,144,0.19,0.41
8.00,Champion Brewing Company,CAN,,,Champion Brewing Company Hogwaller Scramble Stout,27.99,12 pack,12,12oz,12,698,,144,0.19,0.41
5.00,Narragansett,CAN,lager,domestic,Narragansett Lager,34.99,24 pack,24,12oz,12,536,domestic,288,0.12,0.41
6.20,Lagunitas,KEG,,kegs,Lagunitas IPA Keg,299.99,1,1,15.5gal,1984,210,kegs,1984,0.15,0.41
4.60,Yuengling,BOTTLE,,domestic,Yuengling Black & Tan,16.19,12 pack,12,12oz,12,809,domestic,144,0.11,0.41
4.60,Yuengling,BOTTLE,pilsner,imported,Yuengling Golden Pilsner,16.19,12 pack,12,12oz,12,809,imported,144,0.11,0.41
4.20,Bud Light,CAN,light lager,domestic,Bud Light,22.19,18 pack,18,12oz,12,809,domestic,216,0.10,0.41
4.20,Coors,CAN,,domestic,Coors Light,22.19,18 pack,18,12oz,12,809,domestic,216,0.10,0.41
11.90,Flying Dog,BOTTLE,ale,imported,Flying Dog Double Dog Double IPA,20.99,6 pack,6,12oz,12,229,imported,72,0.29,0.41
7.20,Sierra Nevada,BOTTLE,IPA,domestic,Sierra Nevada Torpedo Extra IPA,50.83,24 pack,24,12oz,12,210,domestic,288,0.18,0.41
7.20,Sierra Nevada,BOTTLE,IPA,domestic,Sierra Nevada Torpedo Extra IPA,50.84,24 pack,24,12oz,12,536,domestic,288,0.18,0.41
5.90,Goose Island,CAN,IPA,domestic,Goose Island IPA,3.49,1,1,24oz,24,849,domestic,24,0.15,0.41
4.20,Coors,CAN,,domestic,Coors Light,9.99,4 pack,4,24oz,24,536,domestic,96,0.10,0.40
7.00,CERVEZA MEXICANA COLIBRE,BOTTLE,,,Cerveza Mexicana Colibre Mexican Pale Ale (MPA),24.99,12 pack,12,12oz,12,698,,144,0.17,0.40
5.00,Budweiser,CAN,lager,domestic,Budweiser,17.89,6 pack,6,24oz,24,210,domestic,144,0.12,0.40
4.74,Pabst,CAN,lager,domestic,Pabst Blue Ribbon,8.49,6 pack,6,12oz,12,229,domestic,72,0.12,0.40
4.60,Rolling Rock,CAN,lager,domestic,Rolling Rock,32.99,24 pack,24,12oz,12,536,domestic,288,0.11,0.40
5.00,Budweiser,BOTTLE,lager,domestic,Budweiser,4.99,1,1,40oz,40,229,domestic,40,0.12,0.40
5.00,Budweiser,BOTTLE,lager,domestic,Budweiser,8.99,6 pack,6,12oz,12,229,domestic,72,0.12,0.40
5.00,Miller,CAN,lager,domestic,Miller High Life,35.99,24 pack,24,12oz,12,536,domestic,288,0.12,0.40
7.20,Sierra Nevada,BOTTLE,IPA,domestic,Sierra Nevada Torpedo Extra IPA,25.97,12 pack,12,12oz,12,210,domestic,144,0.18,0.40
7.20,Sierra Nevada,BOTTLE,IPA,domestic,Sierra Nevada Torpedo Extra IPA,12.99,6 pack,6,12oz,12,210,domestic,72,0.18,0.40
7.20,Sierra Nevada,BOTTLE,IPA,domestic,Sierra Nevada Torpedo Extra IPA,25.98,12 pack,12,12oz,12,536,domestic,144,0.18,0.40
7.20,Sierra Nevada,CAN,IPA,domestic,Sierra Nevada Torpedo Extra IPA,25.98,12 pack,12,12oz,12,536,domestic,144,0.18,0.40
7.20,Sierra Nevada,CAN,IPA,domestic,Sierra Nevada Torpedo Extra IPA,25.99,12 pack,12,12oz,12,849,domestic,144,0.18,0.40
6.20,Lagunitas,CAN,IPA,domestic,Lagunitas IPA,2.99,1,1,19.2oz,19.2,849,domestic,19.2,0.16,0.40
4.60,Rolling Rock,CAN,lager,domestic,Rolling Rock,24.99,18 pack,18,12oz,12,536,domestic,216,0.12,0.40
4.20,Coors,CAN,,domestic,Coors Light,15.22,12 pack,12,12oz,12,536,domestic,144,0.11,0.40
4.20,Coors,CAN,,domestic,Coors Light,15.23,12 pack,12,12oz,12,809,domestic,144,0.11,0.40
9.90,Lagunitas,BOTTLE,ale,domestic,Lagunitas Brown Shugga,17.99,6 pack,6,12oz,12,536,domestic,72,0.25,0.40
4.60,Rolling Rock,CAN,lager,domestic,Rolling Rock,41.99,30 pack,30,12oz,12,536,domestic,360,0.12,0.39
8.20,Troegs,BOTTLE,,domestic,Troegs Troegenator,14.99,6 pack,6,12oz,12,849,domestic,72,0.21,0.39
6.00,Bud Light,BOTTLE,,domestic,Bud Light Platinum,10.99,6 pack,6,12oz,12,229,domestic,72,0.15,0.39
5.00,Budweiser,BOTTLE,lager,domestic,Budweiser,18.32,12 pack,12,12oz,12,210,domestic,144,0.13,0.39
5.00,Budweiser,BOTTLE,lager,domestic,Budweiser,18.33,12 pack,12,12oz,12,536,domestic,144,0.13,0.39
8.50,Founders Brewing Co.,BOTTLE,porter and stout,domestic,Founders Dirty Bastard,15.59,6 pack,6,12oz,12,809,domestic,72,0.22,0.39
4.50,Tecate,CAN,pale lager,imported,Tecate,2.76,1,1,24oz,24,849,imported,24,0.12,0.39
9.10,SixPoint,CAN,IPA,domestic,Sixpoint Resin Double IPA,16.77,6 pack,6,12oz,12,536,domestic,72,0.23,0.39
5.90,Blue Moon,KEG,,kegs,Blue Moon White IPA Keg,299.99,1,1,15.5gal,1984,210,kegs,1984,0.15,0.39
9.20,BrewDog,CAN,IPA,domestic,Brewdog Punk IPA,16.99,6 pack,6,12oz,12,536,domestic,72,0.24,0.39
4.20,Bud Light,CAN,light lager,domestic,Bud Light,38.87,30 pack,30,12oz,12,536,domestic,360,0.11,0.39
9.50,Victory Brewing Company,BOTTLE,tripel,domestic,Victory Golden Monkey,70.88,24 pack,24,12oz,12,536,domestic,288,0.25,0.39
9.50,Victory Brewing Company,BOTTLE,tripel,domestic,Victory Golden Monkey,70.89,24 pack,24,12oz,12,210,domestic,288,0.25,0.39
4.74,Pabst,BOTTLE,lager,domestic,Pabst Blue Ribbon,17.75,12 pack,12,12oz,12,210,domestic,144,0.12,0.38
8.00,Champion Brewing Company,CAN,,,Champion Brewing Company Hogwaller Scramble Stout,9.99,4 pack,4,12oz,12,698,,48,0.21,0.38
5.00,Jack's Abby,CAN,lager,domestic,Jack's Abby Saxony Lager,12.49,6 pack,6,16oz,16,849,domestic,96,0.13,0.38
8.00,Oskar Blues,CAN,ale,domestic,Oskar Blues Old Chub,14.99,6 pack,6,12oz,12,210,domestic,72,0.21,0.38
4.20,Coors,CAN,,domestic,Coors Light,2.63,1,1,24oz,24,809,domestic,24,0.11,0.38
7.00,SixPoint,CAN,ale,domestic,Sixpoint Variety Pack,26.36,12 pack,12,12oz,12,536,domestic,144,0.18,0.38
7.00,SixPoint,CAN,ale,domestic,Sixpoint Variety Pack,26.39,12 pack,12,12oz,12,809,domestic,144,0.18,0.38
4.50,Tecate,CAN,pale lager,imported,Tecate,16.98,12 pack,12,12oz,12,536,imported,144,0.12,0.38
4.50,Tecate,CAN,pale lager,imported,Tecate,16.99,12 pack,12,12oz,12,849,imported,144,0.12,0.38
9.00,New Belgium,BOTTLE,IPA,domestic,New Belgium Voodoo Ranger Imperial IPA,16.99,6 pack,6,12oz,12,849,domestic,72,0.24,0.38
7.00,,CAN,,,Champion Brewing Company Missile IPA,52.99,24 pack,24,12oz,12,698,,288,0.18,0.38
4.20,Bud Light,CAN,light lager,domestic,Bud Light,2.76,1,1,25oz,25,849,domestic,25,0.11,0.38
4.20,Bud Light,CAN,,domestic,Bud Light Orange,2.76,1,1,25oz,25,849,domestic,25,0.11,0.38
9.50,Victory Brewing Company,BOTTLE,tripel,domestic,Victory Golden Monkey,17.99,6 pack,6,12oz,12,536,domestic,72,0.25,0.38
9.50,Victory Brewing Company,BOTTLE,tripel,domestic,Victory Golden Monkey,17.99,6 pack,6,12oz,12,229,domestic,72,0.25,0.38
9.50,Victory Brewing Company,BOTTLE,tripel,domestic,Victory Golden Monkey,35.98,12 pack,12,12oz,12,210,domestic,144,0.25,0.38
9.50,Victory Brewing Company,BOTTLE,,domestic,Victory Sour Monkey,17.99,6 pack,6,12oz,12,536,domestic,72,0.25,0.38
9.50,Victory Brewing Company,BOTTLE,tripel,domestic,Victory Golden Monkey,35.99,12 pack,12,12oz,12,536,domestic,144,0.25,0.38
4.20,Miller,CAN,,domestic,Miller Lite,39.79,30 pack,30,12oz,12,536,domestic,360,0.11,0.38
7.20,Sierra Nevada,BOTTLE,IPA,domestic,Sierra Nevada Torpedo Extra IPA,4.55,1,1,24oz,24,809,domestic,24,0.19,0.38
4.74,Pabst,CAN,lager,domestic,Pabst Blue Ribbon,8.99,6 pack,6,12oz,12,536,domestic,72,0.12,0.38
4.20,Miller,CAN,,domestic,Miller Lite,39.84,30 pack,30,12oz,12,210,domestic,360,0.11,0.38
4.74,Pabst,CAN,lager,domestic,Pabst Blue Ribbon,11.99,6 pack,6,16oz,16,210,domestic,96,0.12,0.38
